Specimen,Sample N,Population,Pregnancy stage,Pediatric/Gestational age,Subject N,Sample time,Time unit,Note
Urine,381,Pediatric,N/A,Birth to 1 year,165,N/A,N/A,N/A
Saliva,359,Pediatric,N/A,Birth to 1 year,152,N/A,N/A,N/A
Blood,88,Pediatric,N/A,Birth to 1 year,72,N/A,N/A,N/A
